Cod,N,S,B,H,N_std,S_std,B_std,H_std,native_std,cc_index_std
AR_02_D_1,35,10,8506.8,2.0983995958898056,28.448275862068968,44.44444444444444,46.37690067465718,79.17230410632789,1,39.888385017499694
AR_02_D_2,31,11,7297.1,2.1455014354744373,25,50,39.29548813861937,81.25126332843048,1,39.30935029340996
AR_02_D_3,35,10,7527.0999999999995,1.9605287876281814,28.448275862068968,44.44444444444444,40.64187557623919,73.087026103985,1,37.52432439734751
AR_02_R_1,74,15,8789.499999999998,1.8365293883943576,62.06896551724138,72.22222222222221,48.03178645124466,67.6139979410584,1,50.18739442635333
AR_02_R_2,72,15,10814.5,1.962216316928199,60.3448275862069,72.22222222222221,59.88584976072353,73.16150949214516,1,53.32288181225956
AR_02_R_3,76,13,12605.65,2.0201580050313703,63.793103448275865,61.111111111111114,70.37098827764851,75.71891293728753,1,54.3988231548646
AR_03_D_1,23,15,8904.95,2.570281285762038,18.103448275862068,72.22222222222221,48.707614406345584,100,1,48.00665698088598
AR_03_D_2,26,11,6135.323333333334,2.2685112232853943,20.689655172413794,50,32.49461201114185,86.6806124798363,1,38.17297593267839
AR_03_D_3,26,14,5886.65,2.5176437283191193,20.689655172413794,66.66666666666666,31.03891352387642,97.67670782203129,1,43.41438863699763
AR_03_R_1,118,9,17667.1,0.595085352952597,100,38.88888888888889,100,12.8197149795919,1,50.541720773696156
AR_03_R_2,77,6,11399,0.3448448949815283,64.65517241379311,22.22222222222222,63.30743000980521,1.774717322815162,1,30.59190839372714
AR_03_R_3,89,13,14034.199999999999,0.945100633568994,75,61.111111111111114,78.7335177298737,28.268527635981428,1,48.82263129539324
AR_06_D_1,19,10,10233.625,2.2148103680507085,14.655172413793101,44.44444444444444,56.48548974843043,84.31038895545885,1,40.17909911242536
AR_06_D_2,27,11,7009.531666666667,2.1275045611092667,21.551724137931032,50,37.61210382793559,80.45692560700736,1,38.124150714574796
AR_06_D_3,16,8,3203.7916666666665,1.8734517375545654,12.068965517241379,33.33333333333333,15.333840667730117,69.24365952041954,1,26.195959807744874
AR_06_R_1,24,9,3550.1800000000003,2.012280548614049,18.96551724137931,38.88888888888889,17.361548930939108,75.37122140740416,1,30.31743529372229
